"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Shatrughan Sinha","ASANSOL","West Bengal","Lok Sabha",147000000,66966504,45.56,5,22,18.52,80033496,20,20,0,"N/A"
"Prof. Manoj Kumar Jha (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",191620112.11,87200986,45.51,110,66,62.5,104419126.11000001,111,111,0,"N/A"
"ARUN GOVIL","MEERUT","Uttar Pradesh","Lok Sabha",147000000,66737649,45.4,36,196,15.52,80262351,172,169,3,"N/A"
"Smt. Sulata Deo (2022-28)","Sitting Rajya Sabha","Odisha","Rajya Sabha",196084721.4,88913709,45.34,115,196,36.98,107171012.4,303,302,1,"N/A"
"K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","Karnataka","Lok Sabha",147000000,66577182,45.29,67,126,34.72,80422818,200,199,1,"N/A"
"Kripanath Mallah","KARIMGANJ","Assam","Lok Sabha",147000000,66488500,45.23,0,74,0,80511500,116,116,0,"N/A"
"RAJEEV RAI","GHOSI","Uttar Pradesh","Lok Sabha",147000000,66462043,45.21,108,119,47.58,80537957,311,309,2,"N/A"
"RAJEEV BHARDWAJ","KANGRA","Himachal Pradesh","Lok Sabha",179388967.11,80773156,45.03,204,424,32.48,98615811.11000001,653,648,5,"N/A"
"UMMEDA RAM BENIWAL","BARMER","Rajasthan","Lok Sabha",147000000,65781402,44.75,96,88,52.17,81218598,187,186,1,"N/A"
"SANJNA JATAV","BHARATPUR","Rajasthan","Lok Sabha",147000000,65761488.1,44.74,75,168,30.86,81238511.9,716,713,3,"N/A"
"BRIJMOHAN AGRAWAL","RAIPUR","Chhattisgarh","Lok Sabha",153766451.11,68756217,44.71,38,115,24.84,85010234.11000001,168,165,3,"N/A"
"RAHUL SINGH LODHI","DAMOH","Madhya Pradesh","Lok Sabha",163058785.37,72714957,44.59,173,126,57.86,90343828.37,342,340,2,"N/A"
"C R Patil","NAVSARI","Gujarat","Lok Sabha",158532494.36,70355025,44.38,268,141,65.53,88177469.36000001,280,262,18,"N/A"
"DURAI VAIKO","TIRUCHIRAPPALLI","Tamil Nadu","Lok Sabha",147000000,65218053,44.37,45,33,57.69,81781947,57,53,4,"N/A"
"SURENDRA PRASAD YADAV","JAHANABAD","Bihar","Lok Sabha",155325714,68477331,44.09,141,161,46.69,86848383,200,199,1,"N/A"
"Dr. Anil Sukhdeorao Bonde (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196063957.11,86399726,44.07,50,135,27.03,109664231.11000001,84,79,5,"N/A"
"Shri Naveen Jain (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,64773227,44.06,10,158,5.95,82226773,94,94,0,"N/A"
"UJJWAL RAMAN SINGH","ALLAHABAD","Uttar Pradesh","Lok Sabha",147000000,64478327,43.86,3,28,9.68,82521673,67,59,8,"N/A"
"Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","Haryana","Lok Sabha",147000000,64374998,43.79,103,107,49.05,82625002,185,177,8,"N/A"
"Shri Deepak (Dev) Adhikari ","GHATAL","West Bengal","Lok Sabha",200747364,87788715,43.73,165,40,80.49,112958649,176,176,0,"N/A"
"MAHESH KASHYAP","BASTAR","Chhattisgarh","Lok Sabha",147000000,63670367.5,43.31,38,168,18.45,83329632.5,194,188,6,"N/A"
"Sunil Kumar ","VALMIKI NAGAR","Bihar","Lok Sabha",147000000,63664429,43.31,79,183,30.15,83335571,87,87,0,"N/A"
"RAJ KUMAR ROAT","BANSWARA","Rajasthan","Lok Sabha",147000000,63286521,43.05,23,82,21.9,83713479,121,121,0,"N/A"
"CHAMALA KIRAN KUMAR REDDY","BHONGIR","Telangana","Lok Sabha",147000000,62689273,42.65,417,71,85.45,84310727,434,434,0,"N/A"
"JOYANTA BASUMATARY","KOKRAJHAR","Assam","Lok Sabha",147000000,62530971,42.54,20,102,16.39,84469029,79,79,0,"N/A"
"ALOK SHARMA","BHOPAL","Madhya Pradesh","Lok Sabha",147000000,62492243,42.51,22,67,24.72,84507757,84,84,0,"N/A"
"YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","Karnataka","Lok Sabha",147000000,62346570,42.41,34,148,18.68,84653430,178,177,1,"N/A"
"Smt. Nirmala Sitharaman (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",215972051.45,91394660,42.32,7,16,30.43,124577391.44999999,10,7,3,"N/A"
"Devendra Alias Bhole Singh","AKBARPUR","Uttar Pradesh","Lok Sabha",147000000,62000186,42.18,62,86,41.89,84999814,98,98,0,"N/A"
"Kakoli Ghosh Dastidar ","BARASAT","West Bengal","Lok Sabha",147000000,61929956,42.13,76,107,41.53,85070044,100,100,0,"N/A"
"Mala Roy ","KOLKATA DAKSHIN","West Bengal","Lok Sabha",147000000,61582788,41.89,32,43,42.67,85417212,65,64,1,"N/A"
"Santosh Pandey","RAJNANDGAON","Chhattisgarh","Lok Sabha",147000000,61535649,41.86,71,107,39.89,85464351,249,244,5,"N/A"
"SHOBHA KARANDLAJE","BANGALORE NORTH","Karnataka","Lok Sabha",147000000,61473509,41.82,21,88,19.27,85526491,104,104,0,"N/A"
"CHINTAMANI MAHARAJ","SARGUJA","Chhattisgarh","Lok Sabha",147000000,61420121,41.78,69,260,20.97,85579879,372,365,7,"N/A"
"NAVEEN JINDAL","KURUKSHETRA","Haryana","Lok Sabha",147000000,61262363,41.68,113,88,56.22,85737637,257,255,2,"N/A"
"DHARMENDRA YADAV","AZAMGARH","Uttar Pradesh","Lok Sabha",147000000,61248647,41.67,16,52,23.53,85751353,53,48,5,"N/A"
"IMRAN MASOOD","SAHARANPUR","Uttar Pradesh","Lok Sabha",147000000,61171580,41.61,51,51,50,85828420,73,70,3,"N/A"
"LUMBARAM","JALORE","Rajasthan","Lok Sabha",147000000,61110381,41.57,75,105,41.67,85889619,609,609,0,"N/A"
"JITAN RAM MANJHI","GAYA","Bihar","Lok Sabha",147000000,61088844,41.56,152,108,58.46,85911156,190,187,3,"N/A"
"Shri Samirul Islam (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,71238651,41.54,0,57,0,100261349,17,17,0,"N/A"
"BHARATBHAI MANUBHAI SUTARIYA","AMRELI","Gujarat","Lok Sabha",147000000,60836765,41.39,154,175,46.81,86163235,184,182,2,"N/A"
"SANATAN PANDEY","BALLIA","Uttar Pradesh","Lok Sabha",180420041.4,74595388,41.35,62,293,17.46,105824653.4,231,229,2,"N/A"
"Shri Derek O' Brien (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,70787264,41.28,0,35,0,100712736,16,16,0,"N/A"
"MANI. A.","DHARAMAPURI","Tamil Nadu","Lok Sabha",164515071.11,67070637,40.77,63,315,16.67,97444434.11000001,127,127,0,"N/A"
"BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","Maharashtra","Lok Sabha",147000000,59848620,40.71,11,153,6.71,87151380,74,70,4,"N/A"
"BHUPENDER YADAV","ALWAR","Rajasthan","Lok Sabha",147000000,59638968,40.57,31,43,41.89,87361032,68,67,1,"N/A"
"Ms. Dola Sen (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,69414332,40.47,0,27,0,102085668,20,20,0,"N/A"
"DAMODAR AGARWAL","BHILWARA","Rajasthan","Lok Sabha",147000000,59365927,40.38,102,150,40.48,87634073,854,785,69,"N/A"
