"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"DR RAJKUMAR SANGWAN","BAGHPAT","Uttar Pradesh","Lok Sabha",147000000,36662976,24.94,16,103,13.45,110337024,78,77,1,"N/A"
"Smt. Jebi Mather Hisham (2022-28)","Sitting Rajya Sabha","Kerala","Rajya Sabha",220563957.11,54417993,24.67,47,72,39.5,166145964.11,75,75,0,"N/A"
"Abu Taher Khan","MURSHIDABAD","West Bengal","Lok Sabha",147000000,36162113,24.6,172,156,52.44,110837887,181,176,5,"N/A"
"KONDA VISHWESHWAR REDDY","CHELVELLA","Telangana","Lok Sabha",233721420.96,57214092,24.48,180,339,34.68,176507328.96,214,214,0,"N/A"
"SATPAL BRAHAMCHARI","SONEPAT","Haryana","Lok Sabha",147000000,35904950,24.43,19,212,8.23,111095050,209,166,43,"N/A"
"Shri Suresh Kodikunnil","MAVELIKKARA","Kerala","Lok Sabha",172429519.11,41963456,24.34,58,133,30.37,130466063.11000001,85,85,0,"N/A"
"Shrirang Appa Barne","MAVAL","Maharashtra","Lok Sabha",147000000,35720911,24.3,32,75,29.91,111279089,53,53,0,"N/A"
"GODAM NAGESH","ADILABAD","Telangana","Lok Sabha",147000000,35717086,24.3,80,277,22.41,111282914,142,142,0,"N/A"
"Kamlesh Paswan","BANSGAON","Uttar Pradesh","Lok Sabha",147000000,35635253,24.24,0,124,0,111364747,76,76,0,"N/A"
"Jagdambika Pal","DOMARIYAGANJ","Uttar Pradesh","Lok Sabha",160643957.11,38873088,24.2,0,75,0,121770869.11000001,50,50,0,"N/A"
"MANNA LAL RAWAT","UDAIPUR","Rajasthan","Lok Sabha",147000000,35533993,24.17,24,176,12,111466007,205,169,36,"N/A"
"Shri Ajay Makan (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147000000,35435523,24.11,2,11,15.38,111564477,10,10,0,"N/A"
"Shri Bhartruhari Mahtab","CUTTACK","Odisha","Lok Sabha",147000000,35411567,24.09,86,397,17.81,111588433,269,269,0,"N/A"
"DR. MANSUKH MANDAVIYA","PORBANDAR","Gujarat","Lok Sabha",147000000,34762587,23.65,72,238,23.23,112237413,86,86,0,"N/A"
"Shri Arjun Ram Meghwal","BIKANER","Rajasthan","Lok Sabha",147000000,34700414,23.61,17,62,21.52,112299586,46,43,3,"N/A"
"R.K. CHAUDHARY","MOHANLALGANJ","Uttar Pradesh","Lok Sabha",147000000,34622708,23.55,14,79,15.05,112377292,83,81,2,"N/A"
"Dr. John Brittas (2021-27)","Sitting Rajya Sabha","Kerala","Rajya Sabha",245063957.11,57506835,23.47,36,108,25,187557122.11,57,57,0,"N/A"
"NABA CHARAN MAJHI","MAYURBHANJ","Odisha","Lok Sabha",147563957.11,34422207,23.33,27,194,12.22,113141750.11000001,76,76,0,"N/A"
"RACHNA BANERJEE","HOOGHLY","West Bengal","Lok Sabha",147000000,34234471,23.29,36,68,34.62,112765529,54,54,0,"N/A"
"Shri Ghanshyam Tiwari (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,45570943,23.24,28,60,31.82,150493014.11,190,181,9,"N/A"
"BHASKAR MURLIDHAR BHAGARE","DINDORI","Maharashtra","Lok Sabha",147000000,34081627,23.18,19,100,15.97,112918373,37,35,2,"N/A"
"Smt. Phulo Devi Netam (2026-32)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",49000000,11348157,23.16,0,81,0,37651843,18,14,4,"N/A"
"AMRINDER SINGH RAJA WARRING","LUDHIANA","Punjab","Lok Sabha",147000000,33972409,23.11,59,187,23.98,113027591,326,326,0,"N/A"
"Smt. Rajathi (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,20612106,23.1,16,39,29.09,68636179.42,22,20,2,"N/A"
"AMRARAM","SIKAR","Rajasthan","Lok Sabha",165691544.11,38165228,23.03,49,122,28.65,127526316.11000001,313,294,19,"N/A"
"CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","Maharashtra","Lok Sabha",147000000,33696592,22.92,22,79,21.78,113303408,34,34,0,"N/A"
"BAJRANG MANOHAR SONWANE","BEED","Maharashtra","Lok Sabha",165899107.19,37977152,22.89,20,80,20,127921955.19,39,38,1,"N/A"
"Dr. Sudhanshu Trivedi (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,33646948,22.89,14,39,26.42,113353052,28,28,0,"N/A"
"VISHWESHWAR HEGDE KAGERI","UTTARA KANNADA","Karnataka","Lok Sabha",147000000,33350000,22.69,30,113,20.98,113650000,83,82,1,"N/A"
"Shri Yerram Venkata Subba Reddy (2024-30)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",147000000,33232213,22.61,38,104,26.76,113767787,72,69,3,"N/A"
"SUDHA R","MAYILADUTHURAI","Tamil Nadu","Lok Sabha",147332315.11,33193145,22.53,22,127,14.77,114139170.11000001,47,38,9,"N/A"
"Giriraj Singh","BEGUSARAI","Bihar","Lok Sabha",147000000,32994877,22.45,17,50,25.37,114005123,38,37,1,"N/A"
"KRITI DEVI DEBBARMAN","TRIPURA EAST","Tripura","Lok Sabha",147000000,32934783,22.4,13,29,30.95,114065217,24,24,0,"N/A"
"AMAR SHARADRAO KALE","WARDHA","Maharashtra","Lok Sabha",147000000,32855968,22.35,29,79,26.85,114144032,40,38,2,"N/A"
"Dr Chandra Sekhar Pemmasani","GUNTUR","Andhra Pradesh","Lok Sabha",159774113.11,35682555,22.33,9,87,9.38,124091558.11000001,44,42,2,"N/A"
"AKHILESH YADAV","KANNAUJ","Uttar Pradesh","Lok Sabha",147000000,32453607,22.08,39,200,16.32,114546393,92,82,10,"N/A"
"Shri Sadanand Mhalu Shet Tanavade (2023-29)","Sitting Rajya Sabha","Goa","Rajya Sabha",171500000,37836353.99,22.06,8,33,19.51,133663646.00999999,26,26,0,"N/A"
"Shri Madan Rathore (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,32342754,22,21,111,15.91,114657246,228,222,6,"N/A"
"Shri Dhananjay Bhimrao Mahadik (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",220383643.11,48415797,21.97,32,126,20.25,171967846.11,41,41,0,"N/A"
"V. SOMANNA","TUMKUR","Karnataka","Lok Sabha",147000000,32293790,21.97,4,57,6.56,114706210,26,17,9,"N/A"
"BHOJRAJ NAG","KANKER","Chhattisgarh","Lok Sabha",164672734.11,35985836,21.85,29,44,39.73,128686898.11000001,104,103,1,"N/A"
"Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","Gujarat","Lok Sabha",147000000,32021270,21.78,20,176,10.2,114978730,36,36,0,"N/A"
"JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR","West Bengal","Lok Sabha",168604641.11,36689865,21.76,1,96,1.03,131914776.11000001,41,41,0,"N/A"
"D M Kathir Anand","VELLORE","Tamil Nadu","Lok Sabha",160196941.11,34828146,21.74,15,67,18.29,125368795.11000001,39,38,1,"N/A"
"ADV GOWAAL KAGADA PADAVI","NANDURBAR","Maharashtra","Lok Sabha",147816309.11,32041066,21.68,189,90,67.74,115775243.11000001,189,189,0,"N/A"
"PARTHA BHOWMICK","BARRACKPUR","West Bengal","Lok Sabha",147000000,31114929,21.17,4,28,12.5,115885071,11,11,0,"N/A"
"PRADEEP PUROHIT","BARGARH","Odisha","Lok Sabha",147000000,30901278,21.02,41,241,14.54,116098722,112,110,2,"N/A"
"E.T. MOHAMMED BASHEER","MALAPPURAM","Kerala","Lok Sabha",163895872.11,34451493,21.02,40,150,21.05,129444379.11000001,72,71,1,"N/A"
"Piyush Vedprakash Goyal","MUMBAI NORTH","Maharashtra","Lok Sabha",147000000,30848998,20.99,0,49,0,116151002,17,13,4,"N/A"
"MADHAVANENI RAGHUNANDAN RAO","MEDAK","Telangana","Lok Sabha",147000000,30484168,20.74,41,141,22.53,116515832,49,49,0,"N/A"
"Shri Masthan Rao Yadav Beedha (2024-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",171296045.11,35512349,20.73,33,87,27.5,135783696.11,46,46,0,"N/A"
"Shri Jugal Kishore Sharma","JAMMU","Jammu And Kashmir","Lok Sabha",147000000,30369749,20.66,42,169,19.91,116630251,96,95,1,"N/A"
"Smt Aparajita Sarangi","BHUBANESWAR","Odisha","Lok Sabha",147420861.41,30447444,20.65,47,230,16.97,116973417.41,212,205,7,"N/A"
"DARSHAN SINGH CHOUDHARY","HOSHANGABAD","Madhya Pradesh","Lok Sabha",147000000,30022552,20.42,49,348,12.34,116977448,314,296,18,"N/A"
"Shri Jayant Chaudhary (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",214074707.67000002,43141697,20.15,8,16,33.33,170933010.67000002,25,22,3,"N/A"
"Shri Ilaiyaraaja (2022-28)","Nominated Rajya Sabha","Tamil Nadu","Rajya Sabha",220563957.11,44381022,20.12,17,10,62.96,176182935.11,28,28,0,"N/A"
"Shri Subhash Barala (2024-30)","Sitting Rajya Sabha","Haryana","Rajya Sabha",147000000,29532538,20.09,4,73,5.19,117467462,61,61,0,"N/A"
"ANANTA NAYAK","KEONJHAR","Odisha","Lok Sabha",147000000,29211360,19.87,17,323,5,117788640,448,448,0,"N/A"
"ADV K FRANCIS GEORGE","KOTTAYAM","Kerala","Lok Sabha",188722256.11,37467974,19.85,53,298,15.1,151254282.11,82,80,2,"N/A"
"Arvind Ganpat Sawant","MUMBAI SOUTH","Maharashtra","Lok Sabha",147000000,28859509,19.63,14,46,23.33,118140491,18,18,0,"N/A"
"DR KALGE SHIVAJI BANDAPPA","LATUR","Maharashtra","Lok Sabha",147000000,28846420,19.62,26,89,22.61,118153580,34,33,1,"N/A"
"Vijay Kumar Hansdak","RAJMAHAL","Jharkhand","Lok Sabha",147223957.11,28886697,19.62,0,468,0,118337260.11000001,302,302,0,"N/A"
"NARESH CHANDRA UTTAM PATEL","FATEHPUR","Uttar Pradesh","Lok Sabha",147000000,28783210,19.58,12,74,13.95,118216790,49,49,0,"N/A"
"Shri Samik Bhattacharya (2024-30)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",147000000,28774223,19.57,10,41,19.61,118225777,28,24,4,"N/A"
"Ramvir Singh Bidhuri","SOUTH DELHI","Delhi","Lok Sabha",147559100,28849836,19.55,41,82,33.33,118709264,48,48,0,"N/A"
"SURESH KUMAR SHETKAR","ZAHIRABAD","Telangana","Lok Sabha",147000000,28674768,19.51,64,291,18.03,118325232,121,120,1,"N/A"
"Adv Adoor Prakash ","ATTINGAL","Kerala","Lok Sabha",147000000,28617364,19.47,108,337,24.27,118382636,115,115,0,"N/A"
"T Sumathy (A) Thamizhachi Thangapandian ","CHENNAI SOUTH","Tamil Nadu","Lok Sabha",147000000,28530278,19.41,5,25,16.67,118469722,25,25,0,"N/A"
"Dr. Laxmikant Bajpayee (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196000000,37937707,19.36,4,62,6.06,158062293,35,34,1,"N/A"
"K RADHAKRISHNAN","ALATHUR","Kerala","Lok Sabha",147000000,28066021,19.09,15,171,8.06,118933979,30,30,0,"N/A"
"Dr. Ashok Kumar Mittal (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",222487632.14,41747005,18.76,15,32,31.91,180740627.14,234,234,0,"N/A"
"Prabhubhai Nagarbhai Vasava","BARDOLI","Gujarat","Lok Sabha",147000000,27468376,18.69,62,253,19.68,119531624,84,83,1,"N/A"
"KADIYAM KAVYA","WARANGEL","Telangana","Lok Sabha",147000000,27189421,18.5,53,161,24.77,119810579,73,73,0,"N/A"
"Shri Rajmohan Unnithan ","KASARAGOD","Kerala","Lok Sabha",156754633.11,28932795,18.46,56,151,27.05,127821838.11000001,120,111,9,"N/A"
"AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","West Bengal","Lok Sabha",179658399.98,33156887,18.46,6,106,5.36,146501512.98,30,29,1,"N/A"
"Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",171500000,31616893,18.44,51,112,31.29,139883107,60,60,0,"N/A"
"RAHUL GANDHI","RAE BARELI","Uttar Pradesh","Lok Sabha",147000000,27068171,18.41,74,118,38.54,119931829,151,132,19,"N/A"
"Anto Antony","PATHANAMTHITTA","Kerala","Lok Sabha",147000000,26984855,18.36,60,296,16.85,120015145,78,78,0,"N/A"
"Shri Kumbakudi Sudhakaran","KANNUR","Kerala","Lok Sabha",147000000,26785182,18.22,61,232,20.82,120214818,98,81,17,"N/A"
"SELJA","SIRSA","Haryana","Lok Sabha",147000000,26548478,18.06,59,251,19.03,120451522,152,137,15,"N/A"
"Jaswantsinh Sumanbhai Bhabhor","DAHOD","Gujarat","Lok Sabha",147000000,26431145,17.98,68,327,17.22,120568855,90,90,0,"N/A"
"Praveen Khandelwal","CHANDINI CHOWK","Delhi","Lok Sabha",147470276,26487847,17.96,35,34,50.72,120982429,42,42,0,"N/A"
"MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","Gujarat","Lok Sabha",147000000,26395724,17.96,92,128,41.82,120604276,112,112,0,"N/A"
"Shri Amar Pal Maurya (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,26365566,17.94,18,120,13.04,120634434,33,30,3,"N/A"
"GENIBEN NAGAJI THAKOR","BANASKANTHA","Gujarat","Lok Sabha",147000000,26332572,17.91,41,127,24.4,120667428,67,65,2,"N/A"
"ABDUL RASHID SHEIKH","BARAMULLAH","Jammu And Kashmir","Lok Sabha",154773472.11,27714021,17.91,44,114,27.85,127059451.11000001,70,67,3,"N/A"
"CHARANJIT SINGH CHANNI","JALANDHAR","Punjab","Lok Sabha",147000000,26222604,17.84,58,151,27.75,120777396,208,205,3,"N/A"
"RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","Gujarat","Lok Sabha",147000000,26159198,17.8,89,372,19.31,120840802,125,108,17,"N/A"
"C.M.RAMESH","ANAKAPALLE","Andhra Pradesh","Lok Sabha",202531656.11,36002667,17.78,20,75,21.05,166528989.11,42,40,2,"N/A"
"Dilip Saikia","Darrang-Udalguri","Assam","Lok Sabha",147000000,26110389,17.76,5,225,2.17,120889611,150,146,4,"N/A"
"SHAMBHAVI","SAMASTIPUR","Bihar","Lok Sabha",147000000,26090816,17.75,16,111,12.6,120909184,34,28,6,"N/A"
"Shri Govindbhai Laljibhai Dholakia (2024-30)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",147000000,25955567,17.66,44,78,36.07,121044433,58,58,0,"N/A"
"Smt Poonamben Hematbhai Maadam","JAMNAGAR","Gujarat","Lok Sabha",147000000,25917848,17.63,45,134,25.14,121082152,60,55,5,"N/A"
"NIMUBEN JAYANTIBHAI BAMBHANIYA","BHAVNAGAR","Gujarat","Lok Sabha",147000000,25662379,17.46,28,34,45.16,121337621,34,34,0,"N/A"
"MANISH TEWARI","CHANDIGARH","Chandigarh","Lok Sabha",178351443.75,31091008,17.43,31,81,27.68,147260435.75,127,126,1,"N/A"
"Shri Benny Behanan","CHALAKUDY","Kerala","Lok Sabha",164674770.11,28691022,17.42,13,157,7.65,135983748.11,33,33,0,"N/A"
"Thiru Dayanidhi Maran","CHENNAI CENTRAL","Tamil Nadu","Lok Sabha",147000000,25568733,17.39,4,8,33.33,121431267,7,7,0,"N/A"
"Om Birla","KOTA","Rajasthan","Lok Sabha",163906956.6,28500390,17.39,15,46,24.59,135406566.6,91,90,1,"N/A"
"Shri Praful Patel (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,25340576,17.24,22,95,18.8,121659424,37,37,0,"N/A"
"Smt Sandhya Ray","BHIND","Madhya Pradesh","Lok Sabha",147000000,25218035,17.16,61,68,47.29,121781965,158,158,0,"N/A"
"Shri I.S. Inbadurai (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,15065385,16.88,12,71,14.46,74182900.42,31,31,0,"N/A"
"MIAN ALTAF AHMAD","ANANTNAG","Jammu And Kashmir","Lok Sabha",147000000,24523857,16.68,14,113,11.02,122476143,35,35,0,"N/A"
"Dr Sukanta Majumdar ","BALURGHAT","West Bengal","Lok Sabha",157085364.9,26156776,16.65,33,153,17.74,130928588.9,51,41,10,"N/A"
"Harsh Malhotra","EAST DELHI","Delhi","Lok Sabha",147134131,24390277,16.58,51,61,45.54,122743854,57,57,0,"N/A"
"Shri Manan Kumar Mishra (2024-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235263957.11,38457500,16.35,31,57,35.23,196806457.11,39,39,0,"N/A"
"Shri Sarbananda Sonowal (18LS)","DIBRUGARH","Assam","Lok Sabha",147000000,23919705,16.27,3,84,3.45,123080295,63,58,5,"N/A"
"NILESH DNYANDEV LANKE","AHMEDNAGAR","Maharashtra","Lok Sabha",147000000,23809461,16.2,12,73,14.12,123190539,17,17,0,"N/A"
"LAXMIKANT PAPPU NISHAD","SANT KABIR NAGAR","Uttar Pradesh","Lok Sabha",147000000,23806477,16.19,2,503,0.4,123193523,33,8,25,"N/A"
"Krishan Pal Gurjar","FARIDABAD","Haryana","Lok Sabha",147000000,23658961,16.09,6,76,7.32,123341039,46,46,0,"N/A"
"Vaithilingam Ve","Puducherry","Puducherry","Lok Sabha",209368972.11,33557935,16.03,13,62,17.33,175811037.11,27,22,5,"N/A"
"G. KUMAR NAIK","RAICHUR","Karnataka","Lok Sabha",147000000,23521564,16,9,119,7.03,123478436,46,44,2,"N/A"
"ASHISH DUBEY","JABALPUR","Madhya Pradesh","Lok Sabha",147000000,23263814,15.83,15,328,4.37,123736186,138,138,0,"N/A"
"Shri Jose K. Mani (2024-30)","Sitting Rajya Sabha","Kerala","Rajya Sabha",122500000,19384930,15.82,26,154,14.44,103115070,44,44,0,"N/A"
"Shri Mahendra Bhatt (2024-30)","Sitting Rajya Sabha","Uttarakhand","Rajya Sabha",147000000,23254909,15.82,11,108,9.24,123745091,159,158,1,"N/A"
"Dr. Sasmit Patra (2022-28)","Sitting Rajya Sabha","Odisha","Rajya Sabha",196063957.11,31000333,15.81,42,263,13.77,165063624.11,123,121,2,"N/A"
"AVIMANYU SETHI","BHADRAK","Odisha","Lok Sabha",147000000,23107575,15.72,27,251,9.71,123892425,67,65,2,"N/A"
"Smt Supriya Sadanand Sule","BARAMATI","Maharashtra","Lok Sabha",147000000,23046333,15.68,10,116,7.94,123953667,32,32,0,"N/A"
"Khalilur Rahaman ","JANGIPUR","West Bengal","Lok Sabha",147000000,23028217,15.67,31,76,28.97,123971783,44,33,11,"N/A"
"DINESHBHAI MAKWANA","AHMEDABAD WEST","Gujarat","Lok Sabha",160434965.11,25122452,15.66,2,205,0.97,135312513.11,4,4,0,"N/A"
"Nityanand Rai","UJJARPUR","Bihar","Lok Sabha",147000000,22994739,15.64,40,54,42.55,124005261,50,50,0,"N/A"
"NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","Maharashtra","Lok Sabha",147000000,22993974,15.64,25,70,26.32,124006026,39,39,0,"N/A"
"Rao Inderjit Singh","GURGAON","Haryana","Lok Sabha",147000000,22744840,15.47,14,34,29.17,124255160,28,22,6,"N/A"
"Shri Kesridevsinh Jhala (2023-29)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",171500000,26513551,15.46,21,123,14.58,144986449,51,45,6,"N/A"
"DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR","Maharashtra","Lok Sabha",147000000,22599453,15.37,18,148,10.84,124400547,26,26,0,"N/A"
"Shri Hibi Eden","ERNAKULAM","Kerala","Lok Sabha",162177260.11,24928980,15.37,18,94,16.07,137248280.11,34,34,0,"N/A"
"Shri Narain Dass Gupta (2024-30)","Sitting Rajya Sabha","Delhi","Rajya Sabha",160837070,24703922,15.36,11,41,21.15,136133148,16,15,1,"N/A"
"Appalanaidu Kalisetti","VIZIANAGARAM","Andhra Pradesh","Lok Sabha",147000000,22325622,15.19,36,67,34.95,124674378,56,56,0,"N/A"
"Shri P. P. Suneer (2024-30)","Sitting Rajya Sabha","Kerala","Rajya Sabha",122500000,18439441,15.05,19,69,21.59,104060559,31,31,0,"N/A"
"Shri Rajeev Shukla (2022-28)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",271174394.23,40599928,14.97,4,26,13.33,230574466.23000002,35,33,2,"N/A"
"Smt. Jaya Amitabh Bachchan (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,21904185,14.9,10,13,43.48,125095815,21,21,0,"N/A"
"Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","Maharashtra","Lok Sabha",184758519.11,27342263,14.8,29,164,15.03,157416256.11,43,41,2,"N/A"
"RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","Telangana","Lok Sabha",147000000,21423748,14.57,18,194,8.49,125576252,46,43,3,"N/A"
"Shri Raghav Chadha (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",237229207.25,34558312,14.57,4,2,66.67,202670895.25,34,34,0,"N/A"
"Smt. Rekha Sharma (2024-28)","Sitting Rajya Sabha","Haryana","Rajya Sabha",98000000,14183077,14.47,1,144,0.69,83816923,187,182,5,"N/A"
"DR. SHARMILA SARKAR","BARDHAMAN PURBA","West Bengal","Lok Sabha",147000000,21224009,14.44,17,94,15.32,125775991,33,25,8,"N/A"
"Shri Sudheer Gupta ","MANDSOUR","Madhya Pradesh","Lok Sabha",148988014.83,21420844,14.38,60,163,26.91,127567170.83000001,175,168,7,"N/A"
"MANJU SHARMA","JAIPUR","Rajasthan","Lok Sabha",167082901.11,23994861,14.36,15,54,21.74,143088040.11,31,28,3,"N/A"
"Shri Haris Beeran (2024-30)","Sitting Rajya Sabha","Kerala","Rajya Sabha",122500000,17480985,14.27,9,207,4.17,105019015,23,23,0,"N/A"
"AGA SYED RUHULLAH MEHDI","SRINAGAR","Jammu And Kashmir","Lok Sabha",147000000,20822671,14.17,62,136,31.31,126177329,80,65,15,"N/A"
"Bansuri Swaraj","NEW DELHI","Delhi","Lok Sabha",154306950,21775293,14.11,41,69,37.27,132531657,46,44,2,"N/A"
"Amol Ramsing Kolhe","SHIRUR","Maharashtra","Lok Sabha",147000000,20561770,13.99,15,96,13.51,126438230,25,25,0,"N/A"
"KARTICK CHANDRA PAUL","RAIGANJ","West Bengal","Lok Sabha",202677986.56,28148611,13.89,99,302,24.69,174529375.56,102,102,0,"N/A"
"SHIVMANGAL SINGH TOMAR","MORENA","Madhya Pradesh","Lok Sabha",147000000,20290158,13.8,28,38,42.42,126709842,90,90,0,"N/A"
"Pralhad Venkatesh Joshi","DHARWAD","Karnataka","Lok Sabha",147000000,20265814,13.79,28,174,13.86,126734186,65,55,10,"N/A"
"VISHAL","SANGLI","Maharashtra","Lok Sabha",147000000,19819890,13.48,11,73,13.1,127180110,20,20,0,"N/A"
"MURARI LAL MEENA","DAUSA","Rajasthan","Lok Sabha",147000000,19705174,13.4,16,96,14.29,127294826,72,70,2,"N/A"
"Shri Mayankkumar Nayak (2024-30)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",147000000,19560868,13.31,20,151,11.7,127439132,66,65,1,"N/A"
"BHAUSAHEB RAJARAM WAKCHAURE","SHIRDI","Maharashtra","Lok Sabha",147000000,19420448,13.21,11,126,8.03,127579552,32,32,0,"N/A"
"Sanjay Uttamrao Deshmukh","YAVATMAL-WASHIM","Maharashtra","Lok Sabha",185640423,24518118,13.21,23,101,18.55,161122305,42,42,0,"N/A"
"Shri S Niranjan Reddy (2022-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",224621383.11,29499116,13.13,3,16,15.79,195122267.11,28,27,1,"N/A"
"MURLIDHAR MOHOL","PUNE","Maharashtra","Lok Sabha",147000000,18945481,12.89,12,87,12.12,128054519,19,19,0,"N/A"
"Shri Golla Baburao (2024-30)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",147000000,18853785,12.83,2,42,4.55,128146215,19,19,0,"N/A"
"Manoj Tiwari","NORTH EAST DELHI","Delhi","Lok Sabha",225843858,28650238,12.69,6,17,26.09,197193620,9,9,0,"N/A"
"Anurag Singh Thakur","HAMIRPUR","Himachal Pradesh","Lok Sabha",149570117.11,18576823,12.42,45,162,21.74,130993294.11000001,233,229,4,"N/A"
"Shri Ashok Singh (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,18068265,12.29,11,99,10,128931735,57,56,1,"N/A"
"PRIYANKA SATISH JARKIHOLI","CHIKKODI","Karnataka","Lok Sabha",147000000,17958285,12.22,16,143,10.06,129041715,35,33,2,"N/A"
"BAIJAYANT PANDA","KENDRAPARA","Odisha","Lok Sabha",147000000,17127535,11.65,8,48,14.29,129872465,28,28,0,"N/A"
"MANOHAR LAL","KARNAL","Haryana","Lok Sabha",147000000,16619897,11.31,1,19,5,130380103,13,13,0,"N/A"
"Shri P. Wilson (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,9998159,11.2,1,34,2.86,79250126.42,4,4,0,"N/A"
"VAMSI KRISHNA GADDAM","PEDDAPALLE","Telangana","Lok Sabha",148451721.11,16373473,11.03,9,62,12.68,132078248.11000001,22,22,0,"N/A"
"SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","Maharashtra","Lok Sabha",147000000,16135149,10.98,16,118,11.94,130864851,21,21,0,"N/A"
"VARUN CHAUDHRY","AMBALA","Haryana","Lok Sabha",255454264,28023758,10.97,3,154,1.91,227430506,105,99,6,"N/A"
"BIBHU PRASAD TARAI","JAGATSINGHPUR","Odisha","Lok Sabha",147000000,16033683,10.91,15,324,4.42,130966317,74,73,1,"N/A"
"SURESH GOPI","THRISSUR","Kerala","Lok Sabha",147000000,16001891,10.89,15,75,16.67,130998109,21,21,0,"N/A"
"SHAFI PARAMBIL","VADAKARA","Kerala","Lok Sabha",147000000,15909800,10.82,15,228,6.17,131090200,56,56,0,"N/A"
"Ram Shiromani","SHRAWASTI","Uttar Pradesh","Lok Sabha",151746878.11,16300060,10.74,0,1356,0,135446818.11,58,3,55,"N/A"
"EATALA RAJENDER","MALKAJGIRI","Telangana","Lok Sabha",327477390.86,34708670,10.6,29,268,9.76,292768720.86,59,53,6,"N/A"
"BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",147000000,15498347,10.54,0,27,0,131501653,9,9,0,"N/A"
"Shripad Yesso Naik","NORTH GOA","Goa","Lok Sabha",147000000,15476370,10.53,1,110,0.9,131523630,25,25,0,"N/A"
"SAGAR ESHWAR KHANDRE","BIDAR","Karnataka","Lok Sabha",147000000,15422826,10.49,5,173,2.81,131577174,50,46,4,"N/A"
"BACHHAV SHOBHA DINESH","DHULE","Maharashtra","Lok Sabha",147000000,15115446,10.28,15,79,15.96,131884554,16,12,4,"N/A"
"DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","CHANDRAPUR","Maharashtra","Lok Sabha",147000000,14990871,10.2,7,69,9.21,132009129,14,14,0,"N/A"
"BALABHADRA MAJHI","NABARANGPUR","Odisha","Lok Sabha",147413962.11,14970212,10.16,20,200,9.09,132443750.11000001,128,128,0,"N/A"
"Krishna Prasad Tenneti","BAPATLA","Andhra Pradesh","Lok Sabha",167796849.11,16927605,10.09,6,118,4.84,150869244.11,23,21,2,"N/A"
"E. TUKARAM","BELLARY","Karnataka","Lok Sabha",147000000,14535937,9.89,2,89,2.2,132464063,25,24,1,"N/A"
